CLASS	|	1	2	3	4	5	|	1	2	3	4	5	|	1	2	3	4	5	|	1	2	3	4	5	|	1	2	3	4	5	|	1	2	3	4	5	|
THC0028	|	CLS4H	CLS4H	CLS1C	CLS1C	#####	|	CLS2C	CLS1C	CLS1C	#####	CLS2C	|	#####	#####	#####	#####	CLS4B	|	CLS3C	CLS3C	CLS4C	CLS4C	CLS4B	|	CLS2C	CLS2C	CLS1C	CLS1C	CLS4C	|	#####	CLS4H	CLS3C	#####	CLS4B	|
THC0029	|	CLS4B	CLS4B	CLS2C	CLS2C	#####	|	CLS4B	CLS4B	#####	#####	CLS4C	|	CLS4B	CLS4B	CLS2C	CLS2C	CLS4C	|	CLS2C	CLS2C	#####	#####	CLS4C	|	CLS4C	CLS4C	CLS4C	#####	CLS2C	|	#####	#####	CLS4C	CLS4C	#####	|
THC003	|	CLS2I	CLS2I	CLS2A	CLS2A	CLS2A	|	CLS1A	CLS1A	CLS3H	CLS3A	CLS1A	|	CLS1A	#####	CLS2I	CLS2I	CLS3H	|	CLS3H	CLS2I	CLS2A	CLS3A	CLS3A	|	#####	#####	#####	#####	#####	|	CLS3A	#####	CLS2I	CLS3A	#####	|
THC0030	|	CLS3D	CLS3D	CLS3D	CLS3D	CLS4D	|	CLS4D	#####	#####	#####	#####	|	#####	#####	CLS4H	CLS4D	CLS3D	|	CLS3D	CLS4H	CLS4H	CLS4H	CLS4D	|	CLS4D	CLS4H	CLS4H	CLS4H	CLS4H	|	CLS4D	#####	#####	CLS4H	CLS4H	|
THC0031	|	CLS4E	CLS4E	CLS2D	CLS1F	CLS1F	|	CLS2D	CLS4H	CLS1E	CLS1E	CLS5A	|	CLS4D	CLS4D	#####	CLS4H	#####	|	#####	#####	#####	CLS5A	CLS2E	|	CLS2E	#####	#####	#####	CLS3D	|	CLS4E	CLS4E	CLS3D	#####	CLS4E	|
THC0032	|	#####	#####	#####	#####	CLS4E	|	CLS4E	CLS4D	CLS4D	CLS3D	CLS3D	|	CLS4E	CLS1F	CLS1F	#####	CLS5A	|	CLS2D	CLS2D	CLS4D	CLS3D	CLS4E	|	CLS4E	CLS5A	CLS5A	CLS2E	CLS2E	|	#####	CLS5A	CLS5A	#####	#####	|
THC0033	|	CLS5A	CLS1F	CLS1F	CLS2D	CLS2D	|	#####	CLS2D	CLS2D	#####	CLS1E	|	#####	CLS5A	#####	#####	CLS4D	|	CLS4D	CLS5A	#####	CLS2D	CLS2D	|	CLS3D	CLS3D	CLS4D	CLS1E	CLS1E	|	#####	CLS3D	#####	#####	CLS1E	|
THC0034	|	CLS1E	CLS1E	CLS4D	CLS4D	CLS5C	|	#####	CLS2E	CLS2E	CLS5A	#####	|	CLS2D	CLS2D	#####	#####	#####	|	CLS5A	CLS4D	CLS1F	CLS1F	CLS5A	|	CLS1E	CLS2D	#####	CLS5A	#####	|	#####	CLS5C	CLS2E	CLS5A	CLS1F	|
THC0035	|	CLS1F	CLS5B	CLS1H	CLS5A	CLS1E	|	CLS3F	CLS1G	CLS4E	CLS2D	CLS5E	|	#####	#####	CLS2F	CLS3G	CLS2G	|	CLS2E	CLS5D	CLS2H	CLS5C	CLS3E	|	#####	#####	CLS1I	#####	CLS4F	|	#####	#####	#####	#####	#####	|
THC0036	|	#####	CLS5A	CLS5A	#####	#####	|	CLS5A	CLS5A	CLS5A	CLS4D	CLS1F	|	CLS1F	CLS2E	CLS1E	CLS1E	#####	|	#####	#####	#####	#####	#####	|	CLS5A	CLS2E	CLS2E	CLS1F	CLS2D	|	CLS1E	CLS4D	CLS2D	CLS2D	CLS4D	|
THC0037	|	CLS2D	CLS2D	CLS1E	CLS1E	CLS5A	|	#####	#####	#####	#####	CLS2D	|	CLS1E	CLS1E	CLS5A	CLS5A	#####	|	#####	#####	CLS2D	CLS1E	CLS1E	|	CLS2D	CLS1E	CLS1E	#####	CLS5A	|	CLS5A	CLS2D	#####	CLS1E	CLS5A	|
THC0038	|	#####	#####	CLS1G	CLS1G	#####	|	CLS3E	CLS3E	CLS5D	CLS2E	CLS2E	|	CLS5A	CLS4E	CLS4E	#####	CLS2D	|	#####	#####	CLS5A	#####	CLS5D	|	#####	CLS3F	CLS3F	CLS2D	CLS1F	|	CLS1F	CLS1E	CLS1E	CLS2F	CLS2F	|
THC0039	|	#####	#####	CLS2E	CLS2E	CLS2E	|	CLS2E	#####	CLS1F	CLS1F	#####	|	#####	#####	CLS2D	CLS2D	CLS2E	|	CLS1F	CLS1F	CLS2E	CLS2E	CLS1F	|	CLS1F	#####	CLS2D	#####	#####	|	CLS2E	CLS1F	CLS1F	CLS1F	CLS2E	|
THC004	|	CLS2A	CLS2A	CLS2I	CLS1A	CLS1A	|	#####	#####	CLS1A	CLS1A	CLS3A	|	#####	#####	#####	#####	CLS2I	|	CLS2I	#####	#####	CLS2A	CLS2A	|	CLS3A	CLS3A	#####	CLS3H	CLS3H	|	CLS1A	CLS1A	CLS3H	CLS2A	CLS2A	|
